SRforSCF_03.csv, ñ@ê¸ñ íºíBì˙éÀó , êÖïΩñ ìVãÛì˙éÀó , ígñ[1_ó‚ñ[2
21514, 0, 50, 1
21515, 0, 31, 1
21516, 0, 12, 1
21517, 2, 2, 1
21518, 0, 0, 1
21519, 0, 0, 1
21520, 0, 0, 1
21521, 0, 0, 1
21522, 0, 0, 1
21523, 0, 0, 1
21524, 0, 0, 1
21601, 0, 0, 1
21602, 0, 0, 1
21603, 0, 0, 1
21604, 0, 0, 1
21605, 0, 0, 1
21606, 0, 0, 1
21607, 2, 10, 1
21608, 14, 43, 1
21609, 43, 108, 1
21610, 67, 158, 1
21611, 29, 153, 1
21612, 12, 105, 1
21613, 12, 93, 1
21614, 7, 79, 1
21615, 5, 41, 1
21616, 2, 17, 1
21617, 2, 2, 1
21618, 0, 0, 1
21619, 0, 0, 1
21620, 0, 0, 1
21621, 0, 0, 1
21622, 0, 0, 1
21623, 0, 0, 1
21624, 0, 0, 1
